,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Alabama,N/A,767,"1,865","2,329","3,397","1,927",894,77,521,"15,755","27,433",399,0,"2,400","1,184",478,"1,277","1,365","1,566",97,"1,435",446,"2,540",193,"7,442","1,174",120,339,539,166,193,773,"2,061","3,974","1,162","1,513",725,593,"2,690",43,"1,968",103,"7,206","6,469",362,173,"4,772",871,445,491,164,51
Alaska,279,N/A,658,73,"3,062","1,815",109,0,0,"1,473","1,044",732,544,819,138,193,434,238,210,17,444,449,955,"1,173",0,905,461,233,"2,129",338,0,766,"1,028","2,078",71,408,780,"1,389",263,0,873,312,133,"2,196",337,53,521,"3,988",0,161,414,34
Arizona,607,"2,519",N/A,553,"54,646","11,039","2,417",927,330,"7,833","3,671","2,069","2,835","11,017","4,087","3,963","2,625","3,599","1,801",780,"2,105","3,030","9,069","8,499",544,"4,069","1,798",986,"7,153",445,"2,782","8,030","5,564","5,323","1,150","5,147","3,906","7,163","3,910",298,842,"1,582","3,253","13,025","10,165",406,"3,801","14,183",0,"5,262","2,473","1,556"
Arkansas,956,205,"1,683",N/A,"5,075","2,429",0,79,196,"2,641","2,407",45,214,"2,999",784,589,"2,036",497,"3,601",0,70,521,"1,922",114,"3,415","6,367","1,058",337,292,0,122,645,395,"2,006",143,777,"7,505",34,358,0,311,146,"6,033","17,708",445,36,"2,355",313,143,"1,312",275,0
California,"5,273","6,022","34,204","2,867",N/A,"21,157","6,205","1,118","3,908","25,638","11,630","10,475","5,840","26,189","8,650","1,394","3,943","3,781","6,324","1,745","9,981","12,628","8,852","4,887","2,539","6,465","2,017","3,282","25,332","1,859","12,890","5,239","36,896","12,463","1,035","12,836","8,350","20,838","13,595","2,179","6,301",610,"8,781","41,713","8,814",766,"15,009","33,131",413,"6,741","1,672","1,110"
Colorado,"2,392","1,653","10,254","1,527","29,029",N/A,"2,253",77,"1,132","12,623","4,644","4,277","1,692","11,398","1,982","2,718","6,294","1,678","3,007",185,"2,286","2,378","3,739","5,443",881,"6,798",910,"4,201","3,723",583,"3,227","6,393","5,748","3,489","1,388","3,263","3,072","4,836","4,870",43,"2,410",732,"2,314","25,268","4,064","1,094","7,686","7,368","1,232","5,916","3,275",126
Connecticut,163,68,187,0,"4,240",467,N/A,344,379,"6,122","1,268",429,51,"1,696",777,362,135,30,139,939,917,"9,498",467,548,84,638,0,0,127,"1,202","3,688",725,"23,820","1,394",95,"1,836",265,290,"2,348","3,035",926,362,237,"2,519",95,262,"2,301","1,236",63,223,0,"3,564"
Delaware,76,344,282,0,725,192,508,N/A,279,883,327,0,0,632,207,124,154,75,0,376,"6,749","1,161",162,81,26,82,0,0,0,47,"4,345",846,"4,759","1,504",423,92,54,90,"13,965",0,659,0,82,"1,423",32,78,"2,112",420,119,0,0,236
District of Columbia ,359,235,367,203,"4,119",433,"1,292",252,N/A,"2,731","1,013",52,5,785,748,135,33,275,392,258,"14,726","2,876","1,308",545,338,141,0,674,68,47,"1,804",40,"5,133","1,501",0,"1,027",150,157,"1,999",234,"1,806",9,873,"1,314",177,117,"8,028",134,478,514,0,18
Florida,"15,449","1,553","7,168","6,850","21,217","9,206","14,887","1,685","1,512",N/A,"38,654","2,978",846,"26,406","13,396","3,142","3,648","10,036","6,560","5,178","16,449","16,651","26,138","5,433","5,415","10,480","1,150","1,706","6,008","5,175","29,390","3,762","69,289","24,003","1,363","27,403","2,710","1,568","28,826","2,523","13,949","1,400","19,864","29,706","1,932","1,480","23,377","3,819","3,479","9,195",924,"28,036"
Georgia,"16,372",669,"1,713","1,668","15,675","4,456","1,995",205,652,"47,286",N/A,995,230,"9,960","5,212",908,"2,614","5,313","3,277",735,"4,328","2,496","5,744","3,078","4,395","4,897",185,"1,010","2,526",649,"7,403","1,122","14,853","16,095",0,"7,840","1,543","1,528","6,493",205,"17,395",0,"18,087","16,078","1,523",157,"15,852","2,377","1,300","3,352",879,"2,502"
Hawaii,240,164,"2,701",194,"10,952","1,618",781,0,159,"2,013","1,231",N/A,359,"1,936",471,308,917,"1,108",455,255,654,601,834,733,164,633,98,191,"1,193",80,524,115,"2,191","2,486",0,539,"1,041","2,244",981,429,"1,214",0,331,"2,031","1,707",0,"3,402","3,176",130,158,0,115
Idaho,564,"1,061","3,152","1,441","18,928","3,659",127,0,0,"1,864","1,079",0,N/A,857,147,120,"1,201",792,240,128,170,457,100,533,0,"1,864","1,466",0,"1,891",119,27,391,"1,003",226,833,563,567,"7,295",217,0,196,152,419,"2,959","6,625",343,689,"6,499",441,122,"2,282",62
Illinois,"1,853",350,"6,776","1,452","18,953","3,998","1,473",171,"1,050","11,428","5,581","1,697",474,N/A,"14,473","9,969","1,267","2,654","2,022",563,"2,549","3,460","11,936","4,832","2,503","15,395",636,"1,791","2,266",170,"3,259",757,"6,923","4,458",418,"10,281","2,549","1,838","4,810",438,"1,805",295,"5,566","11,719",607,302,"5,804","3,377",808,"11,785",287,"1,655"
Indiana,"2,130",0,"2,871",640,"6,407","2,271",681,105,71,"7,523","3,710",405,"1,176","34,221",N/A,514,"1,037","13,386",968,698,811,"1,172","11,465","1,620",646,"3,176",970,874,"2,359",116,"2,120",802,"3,175","2,802",887,"12,940","1,244",100,"2,827",166,577,130,"3,491","5,878",709,168,"2,886","1,210",29,"3,193",172,377
Iowa,285,734,"3,069","1,926","2,899","2,158",173,0,112,"3,498","1,449",360,665,"19,702","1,564",N/A,"1,090",194,604,137,287,487,730,"8,401",433,"4,932",123,"7,216",659,269,698,403,295,852,287,"2,013","1,391",605,154,95,875,"1,535","1,747","4,325",77,95,834,"2,086",45,"3,140",229,32
Kansas,717,201,"2,079","1,504","6,137","5,327",436,340,125,"3,364","2,002",457,76,"2,870","1,470","2,970",N/A,"1,612",458,145,815,621,"2,205",729,20,"21,840",6,"3,138",460,189,759,"1,425","1,665","1,982",7,"1,085","4,626",673,"1,412",0,683,95,"1,928","7,577","1,767",0,"1,053","1,548",160,189,393,17
Kentucky,"1,463",237,772,516,"4,828","1,510",371,391,211,"7,031","4,830",373,0,"4,776","9,982",750,"1,976",N/A,280,477,"2,040","1,197","2,617",509,528,"1,731",0,894,404,22,273,463,"3,383","3,622",49,"14,779",786,"1,143","3,135",0,"1,967",0,"12,533","5,595",327,0,"2,015","1,668","3,349",590,525,111
Louisiana,"3,318",101,279,"2,993","7,318","1,178",164,15,92,"5,404","4,077",302,60,"2,942","1,120",457,"1,115","2,009",N/A,47,"1,149",837,"1,776",592,"11,095",738,57,112,731,51,"1,715",524,"4,417","2,292",205,"1,492","2,282",112,"1,831",161,"1,505",0,"2,957","19,863",180,0,"1,732","1,486",90,322,26,"1,048"
Maine,0,32,256,0,"1,286",585,"1,616",0,120,"2,602",108,346,89,297,172,212,356,292,617,N/A,216,"4,433",168,25,0,0,16,225,29,"4,443","1,255",0,"1,947",766,0,478,42,471,987,890,418,22,220,"1,817",159,769,480,429,35,189,208,0
Maryland,"1,526",361,"2,649",54,"10,859","3,002","2,006","6,454","22,051","10,321","5,056","3,228",0,"2,248","2,016",679,881,391,323,109,N/A,"3,259","1,915",638,767,"1,905",148,850,988,440,"7,283",344,"10,850","5,562",184,"3,477",533,299,"14,928",799,"1,764",96,"1,634","5,611",318,174,"24,293","1,561","2,605","1,183",272,"1,627"
Massachusetts,269,459,"2,110",576,"9,519","2,046","8,283",709,"1,213","11,835","2,383",228,422,"3,192","1,267",0,236,122,561,"3,417","3,696",N/A,"1,086","1,433",499,"1,568",30,300,758,"8,220","7,201",326,"23,014","2,114",96,"1,377",500,967,"7,538","7,407","1,115",0,316,"4,398",405,"3,046","3,444","1,828",286,827,0,"4,520"
Michigan,"1,387","1,701","4,007",992,"10,202","1,993",764,114,445,"11,547","3,687",847,725,"13,252","9,300",594,"2,267","2,111","1,291",590,"1,214","3,158",N/A,"3,209",633,"3,104",683,395,"2,044",397,"1,359",868,"4,343","3,285",879,"14,593",753,892,"5,737",271,"1,427",558,"4,846","8,466",555,189,"2,836","1,951",885,"5,136",157,643
Minnesota,105,363,"3,978",405,"6,739","2,709",578,34,282,"3,502","1,344",270,486,"6,974",965,"6,996","1,272",608,382,77,"1,270","1,369","2,742",N/A,220,"1,812",760,"2,073",427,455,419,712,"3,529","2,622","7,636","2,525",661,864,662,144,330,"5,362","1,773","4,814","1,100",12,"4,014","2,404",34,"18,934",728,706
Mississippi,"6,827",474,337,"1,497","3,566",522,0,0,0,"6,113","3,111",235,262,"1,371",757,328,162,"1,002","8,678",0,681,906,957,10,N/A,702,248,18,732,0,"1,604",106,271,"1,088",0,"1,109","1,190",97,360,0,731,0,"9,494","8,842",70,0,"1,794","1,589",725,754,31,104
Missouri,"1,449",920,"3,305","7,887","9,646","4,791",268,254,405,"7,190","2,055","1,357",915,"23,915","3,563","6,004","20,834","1,724",690,275,918,"1,719","1,647","2,813","1,930",N/A,99,"3,820","1,600",137,"1,291",685,"3,176","4,526",392,"4,660","4,893","2,044","1,901",200,"1,360",858,"2,940","9,634",955,0,"1,867","2,611",498,"1,932",599,"1,323"
Montana,0,657,"1,187",320,"4,339","3,268",0,0,0,955,568,99,"5,182","1,012","1,564",606,301,102,0,201,153,39,791,633,61,"1,452",N/A,168,"1,151",283,133,21,139,"1,358","1,801",294,105,408,143,51,71,308,179,"3,235","1,807",15,331,"4,959",50,251,"2,009",0
Nebraska,32,122,"1,489",741,"3,317","3,571",300,34,13,"1,805",556,110,299,"4,450",539,"6,081","3,294",508,516,586,259,40,753,"2,156",218,"2,276",307,N/A,393,0,45,"1,542",834,818,575,343,"1,139",299,692,0,159,"2,117",478,"4,460",801,8,"1,003",785,0,"1,341",746,389
Nevada,"1,830","1,017","5,598",50,"54,765","2,058","1,681",0,94,"6,001",868,"3,747","2,514","3,552","2,149",651,855,707,318,66,816,792,"2,597","2,966",152,778,"1,481",801,N/A,64,522,"1,388","3,317","1,873",309,"1,205",264,"2,575","2,102",325,"1,374",126,123,"5,271","5,845",0,"1,932","6,513",280,"1,144",543,339
New Hampshire,125,0,669,0,"2,609",941,"2,744",173,291,"3,039",227,54,0,563,"1,052",109,0,361,394,"4,956",307,"19,187",636,431,241,248,0,84,128,N/A,581,245,"3,364",670,0,565,0,351,"1,259",931,0,0,0,"1,407",0,"3,233","1,039",0,28,204,0,613
New Jersey,250,839,"1,521",243,"5,447",768,"2,781","1,142",845,"9,284","3,630",597,0,"2,438","1,693",77,275,205,"1,933",306,"3,215","4,901","1,616",715,273,607,0,214,716,517,N/A,935,"50,792","4,947",48,"1,660",235,423,"23,371",672,"2,805",72,869,"4,778",36,204,"3,124","1,152",457,240,206,"2,780"
New Mexico,356,278,"3,441",42,"6,721","5,395",161,0,0,"2,150","1,120",638,611,"1,267",428,181,303,329,218,663,539,483,"1,159",318,"1,327",343,278,0,688,112,747,N/A,"1,632",540,0,"1,322","1,311",175,473,87,"1,098",0,660,"12,101","1,452",128,"2,350","1,435",129,120,444,107
New York,850,"1,020","5,993","1,054","25,510","3,101","11,684","1,231","5,619","26,192","6,462",482,0,"6,499","2,426",589,"1,061","1,115","1,790","1,138","7,167","16,726","4,390","1,876","1,083","2,441",292,144,"1,116","1,668","34,588",969,N/A,"8,543",260,"3,256","1,472","1,624","25,385",944,"4,912",267,"2,562","12,082","1,451","3,118","8,333","3,942","1,083","1,781",320,"5,522"
North Carolina,"3,733",578,"5,963",707,"16,985","3,634","6,709","1,676","3,401","27,771","17,676","2,910",729,"8,100","4,903","3,180","2,260","4,702","2,632","1,904","11,383","5,387","6,588","2,635",721,"3,207",576,"1,631","1,854","1,195","13,233","1,958","23,594",N/A,"1,176","7,405","1,067",733,"12,979",838,"27,321","1,730","7,575","15,245","1,278",691,"31,390","1,883","3,387","1,217",582,"1,125"
North Dakota,0,196,"1,008",255,"2,601",984,261,0,0,367,367,39,205,730,150,"2,500",84,30,244,0,307,103,"1,722","13,712",238,"1,187","1,214",425,262,240,0,223,"1,055",376,N/A,928,459,22,24,18,337,"2,300",420,"3,968",168,0,121,"1,675",199,660,234,0
Ohio,"2,038","1,330","4,257","1,404","11,145","3,137","2,126",221,"1,493","12,911","5,971",461,0,"11,733","11,837","1,418","1,182","13,849","1,273",643,"3,591","3,603","13,867","1,772",890,"3,246",285,647,"1,959","1,510","3,475",443,"11,176","6,777",329,N/A,"1,058","1,539","15,932",307,"2,804",80,"5,162","11,553",602,110,"8,655","2,601","9,059","1,977",37,"4,311"
Oklahoma,957,278,"2,495","6,881","7,753","4,362",66,666,365,"3,779","2,757",679,317,"3,493",905,658,"10,058",660,"2,604",304,"1,186","1,052","3,298","1,015",712,"3,709",219,977,701,119,917,"2,070","1,922","2,083",648,"1,872",N/A,275,770,270,945,65,"1,293","28,642","1,020",203,"1,686","1,457",641,924,150,303
Oregon,654,"1,617","6,349",631,"40,447","3,011",567,502,789,"2,795","1,288","3,476","6,377","1,653",826,"1,553",582,0,"1,601",234,878,"2,295","1,644","2,035",146,"1,668","3,424",370,"2,855","1,292",164,685,"2,028","2,106",299,"1,720",800,N/A,"2,018",189,"1,378",72,"1,190","4,761","1,649",442,"2,329","25,055",106,"1,591","1,021",58
Pennsylvania,"1,663",368,"2,921",765,"10,249","3,115","5,967","7,615","1,487","14,676","3,600",524,879,"4,054","2,227",506,998,"1,855",199,963,"17,424","5,285","3,274","1,799","1,560",972,259,82,"1,057","1,685","41,578",658,"32,857","7,228",345,"13,453",776,"1,168",N/A,896,"3,263",223,"1,979","7,490","2,073",785,"11,249","1,056","5,173","1,731",674,"7,933"
Rhode Island,39,93,647,0,"1,879",285,"3,861",0,6,"4,363",191,18,244,265,53,0,169,118,60,422,500,"12,652",61,58,37,355,0,0,58,690,"1,380",0,"2,951","1,140",0,274,0,394,"1,040",N/A,445,0,908,"1,164",427,78,356,636,27,0,0,"1,029"
South Carolina,"1,854",250,900,"1,612","5,915","2,725","3,355",214,262,"16,323","15,548",602,285,"4,051","2,033","1,036",676,"3,007","1,751","1,006","4,963","3,002","3,496",987,"1,309","2,086",198,195,659,566,"4,951",177,"9,301","31,369",189,"6,694",705,560,"9,489",628,N/A,70,"5,542","5,987","1,243",388,"8,736",751,"1,498","1,222",0,"1,030"
South Dakota,14,289,"1,240",486,"1,340","1,200",32,0,0,263,268,0,92,"1,075",157,"2,290",308,31,0,0,207,0,190,"3,878",10,440,391,"2,606",353,0,36,28,0,366,"2,669",29,219,54,84,0,"1,138",N/A,404,"1,742",591,0,358,126,0,532,"1,426",9
Tennessee,"10,291",624,"2,513","6,071","10,032","1,722",995,317,417,"17,853","13,585","1,124",354,"6,764","7,128","1,153","3,227","14,772","2,784",943,"2,664","4,061","6,454","1,667","9,473","2,620",135,"1,850",954,454,"1,549",340,"6,972","11,838",727,"6,802","2,580",522,"2,472",455,"4,148",519,N/A,"11,934","1,097","1,397","6,382",485,"1,044","1,480",179,424
Texas,"7,167","2,573","16,067","14,539","65,546","22,587","3,973","2,051","1,423","33,670","20,924","3,342",995,"21,927","9,413","5,874","9,952","4,884","31,044","1,144","10,839","8,279","13,919","4,956","13,476","17,273","2,210","4,486","7,822","1,407","11,141","16,056","26,287","15,869",976,"12,077","25,555","3,906","12,984","1,060","5,617",762,"13,199",N/A,"6,583",395,"18,429","9,155","2,083","4,393","2,743","9,707"
Utah,369,"1,630","7,650",230,"18,154","3,964",295,61,186,"2,383","1,032","2,239","6,413","1,374",501,301,692,220,268,152,672,"1,029",575,519,"1,145","1,221","2,115",264,"5,073",340,"1,078","1,645","1,853","1,648",254,"1,623","1,214","1,838","2,710",0,323,496,"1,122","8,698",N/A,193,"1,628","5,426",138,"1,798","2,609",109
Vermont,245,17,69,0,968,376,"1,379",70,286,442,410,0,79,265,0,97,18,199,138,999,561,"2,840",765,10,0,0,67,0,0,"2,496","1,607",83,"3,034",326,0,377,0,81,327,750,118,54,435,144,175,N/A,274,636,0,0,15,100
Virginia,"2,888","1,221","2,181",856,"24,500","3,804","3,594","1,199","10,969","23,691","9,628","1,912",272,"9,699","2,442","1,204","1,724","2,802","3,993","1,548","28,155","3,632","3,421","2,788","1,920","3,048",27,971,639,865,"9,447",973,"18,267","18,298",214,"5,961","2,219",135,"13,379","1,623","8,906",216,"9,637","16,685","1,763",680,N/A,"4,134","7,673","1,645",267,"1,945"
Washington,580,"3,911","9,860","1,146","45,609","7,258",586,39,407,"10,822","5,415","4,386","10,311","5,794","1,611","1,002","2,728",875,632,655,"3,844","2,600","2,578","3,503",916,"2,535","4,936",301,"4,820",681,"3,214",878,"4,983","3,105","1,283","2,654","3,736","32,570","2,857",116,"2,469",457,"2,794","12,829","5,827",180,"5,901",N/A,"1,098","2,860",755,683
West Virginia,240,0,0,7,875,491,570,231,460,"2,867",777,0,45,349,747,8,103,"1,871",0,156,"5,308",126,524,371,249,367,0,0,0,0,221,161,285,"1,846",0,"6,802",177,348,"3,925",123,"1,166",0,968,967,483,147,"7,400",223,N/A,94,0,565
Wisconsin,322,188,"2,540",289,"5,230","1,568","1,104",88,649,"2,589","2,202",384,302,"23,233","2,266","5,822",996,728,"1,015",46,895,869,"4,897","19,812",684,"1,850",174,587,692,82,"1,142",187,"2,293","1,525",561,"1,705","1,432","1,064","1,660",69,324,243,"2,261","4,665",468,14,"2,066","2,129",8,N/A,592,295
Wyoming,253,263,"1,196",197,"2,350","9,132",271,0,29,109,438,80,"1,414",398,134,251,2,204,314,790,10,0,48,788,0,184,993,"1,742","1,021",0,0,488,191,44,501,162,130,46,15,6,27,"1,233",143,"4,587","3,725",6,564,"1,051",0,417,N/A,51
Puerto Rico,246,36,136,127,176,60,404,0,75,"5,515","1,129",0,0,113,52,151,0,47,0,0,318,"2,503",104,0,0,0,0,0,0,64,"1,826",0,"5,221",518,0,782,243,0,"1,476",492,183,0,739,582,0,0,"1,063",204,0,177,0,N/A
